propertyId,addressFolderName,address,city,zip,status
"property-1","17736 Windflower Way","17736 Windflower Way","Dallas","75252","OK"
"property-2","1009 Dawn Cr","1009 Dawn Cr","Dallas","75252","OK"
"property-3","903 Baylor Avenue","903 Baylor Avenue","Waco","76706","OK"
"property-4","3438 Maple Ave","3438 Maple Ave","Dallas","75204","OK"
"property-5","5033 Pecan St","5033 Pecan St","Austin","78701","OK"
"property-6","777 Park Ave","777 Park Ave","Houston","77002","OK"
"property-7","6114 Park Way","6114 Park Way","Dallas","75201","OK"
"property-8","387 Cedar Dr","387 Cedar Dr","Houston","77007","OK"
"property-9","469 Briar Ln","469 Briar Ln","Waco","76701","OK"
"property-10","1767 Maple St","1767 Maple St","Waco","76708","OK"
"property-11","617 Maple Ln","617 Maple Ln","Waco","76701","OK"
"property-12","428 Park Dr","428 Park Dr","Dallas","75214","OK"
"property-13","5512 Oak Way","5512 Oak Way","Houston","77002","OK"
"property-14","4549 Pecan Ave","4549 Pecan Ave","Austin","78745","OK"
"property-15","310 Magnolia Way","310 Magnolia Way","Austin","78701","OK"
"property-16","1592 Park St","1592 Park St","Austin","78745","OK"
"property-17","3259 Briar Ln","3259 Briar Ln","Austin","78745","OK"
"property-18","2742 Magnolia Ln","2742 Magnolia Ln","Dallas","75214","OK"
"property-19","5311 Cedar Dr","5311 Cedar Dr","Waco","76701","OK"
"property-20","4045 Oak Dr","4045 Oak Dr","Austin","78701","OK"
